FlockID,Chicken,week,weight.kg
1,4,12,0.79
1,5,12,0.96
1,6,12,1.05
1,7,12,1.4
1,8,12,0.88
1,9,12,1.05
1,10,12,1.23
2,1,12,1.32
2,2,12,1.58
2,3,12,1.67
2,4,12,1.58
2,5,12,1.14
2,6,12,1.58
2,7,12,1.4
2,8,12,1.49
2,9,12,1.58
2,10,12,1.67
3,1,12,0.79
3,2,12,0.7
3,3,12,1.14
3,4,12,0.79
3,5,12,0.88
3,6,12,0.88
3,7,12,0.56
3,8,12,1.05
3,9,12,1.09
3,10,12,0.7
4,1,12,0.96
4,2,12,1.14
4,3,12,0.88
4,4,12,1.32
4,5,12,1.23
4,6,12,0.88
4,7,12,1.23
4,8,12,0.79
4,9,12,1.14
4,10,12,1.32
5,1,12,1.05
5,2,12,1.14
5,3,12,1.23
5,4,12,1.34
5,5,12,1.42
5,6,12,1.58
5,7,12,1.49
5,8,12,1.21
5,9,12,1.27
5,10,12,1.33
6,1,12,0.83
6,2,12,0.86
6,3,12,0.96
6,4,12,0.88
6,5,12,0.79
6,6,12,0.88
6,7,12,1.05
6,8,12,1.1
6,9,12,1.14
6,10,12,0.7
7,1,12,0.79
7,2,12,0.88
7,3,12,0.96
7,4,12,0.83
7,5,12,0.88
7,6,12,0.79
7,7,12,0.88
7,8,12,1.05
7,9,12,1.14
7,10,12,0.88
8,1,12,1.32
8,2,12,1.14
8,3,12,1.4
8,4,12,1.49
8,5,12,1.4
8,6,12,1.67
8,7,12,1.75
8,8,12,1.58
8,9,12,1.49
8,10,12,1.75
9,1,12,0.96
9,2,12,1.14
9,3,12,0.79
9,4,12,1.67
9,5,12,0.96
9,6,12,1.05
9,7,12,1.05
9,8,12,1.05
9,9,12,0.96
9,10,12,1.14
10,1,12,1.58
10,2,12,1.58
10,3,12,1.23
10,4,12,1.23
10,5,12,1.05
10,6,12,1.05
10,7,12,1.05
10,8,12,0.96
10,9,12,0.96
10,10,12,0.88
11,1,12,1.32
11,2,12,1.14
11,3,12,1.32
11,4,12,1.4
11,5,12,0.96
11,6,12,0.96
11,7,12,1.23
11,8,12,1.32
11,9,12,1.4
11,10,12,1.23
1,1,13,1.58
1,2,13,1.58
1,3,13,1.58
1,4,13,1.58
1,5,13,1.58
1,6,13,1.58
1,7,13,1.58
1,8,13,1.58
1,9,13,1.58
1,10,13,1.58
2,1,13,1.75
2,2,13,1.16
2,3,13,1.83
2,4,13,1.58
2,5,13,1.48
2,6,13,1.33
2,7,13,1.5
2,8,13,1.41
2,9,13,1.58
2,10,13,1.75
3,1,13,1
3,2,13,0.75
3,3,13,1
3,4,13,0.75
3,5,13,1.08
3,6,13,0.75
3,7,13,0.68
3,8,13,0.78
3,9,13,1.33
3,10,13,1.08
4,1,13,1.25
4,2,13,1.08
4,3,13,0.83
4,4,13,1
4,5,13,1.16
4,6,13,1
4,7,13,0.75
4,8,13,0.91
4,9,13,0.83
4,10,13,0.91
5,1,13,1.26
5,2,13,1.12
5,3,13,1
5,4,13,1.21
5,5,13,1.37
5,6,13,1.44
5,7,13,1.37
5,8,13,1.5
5,9,13,1.45
5,10,13,1.29
6,1,13,0.83
6,2,13,0.96
6,3,13,1.08
6,4,13,1.06
6,5,13,1.16
6,6,13,0.75
6,7,13,1
6,8,13,1.12
6,9,13,1.15
6,10,13,1.25
7,1,13,0.83
7,2,13,0.91
7,3,13,1
7,4,13,1.08
7,5,13,0.83
7,6,13,1.16
7,7,13,0.83
7,8,13,1.08
7,9,13,0.83
7,10,13,1.16
8,1,13,1.5
